Month,Occurences
January 2016,2
February 2016,1
March 2016,2
April 2016,1
May 2016,1
June 2016,5
July 2016,1
August 2016,1
September 2016,3
October 2016,0
November 2016,3
December 2016,2
January 2017,1
February 2017,3
March 2017,4
April 2017,3
May 2017,2
June 2017,3
July 2017,1
August 2017,7
September 2017,2
October 2017,3
November 2017,4
December 2017,4
January 2018,4
February 2018,7
March 2018,4
April 2018,2
May 2018,1
June 2018,2
July 2018,0
August 2018,0
September 2018,7
October 2018,1
November 2018,1
December 2018,5
January 2019,1
February 2019,1
March 2019,3
April 2019,6
May 2019,5
June 2019,4
July 2019,2
August 2019,5
September 2019,3
October 2019,1
November 2019,8
December 2019,4
January 2020,5
February 2020,4
March 2020,17
April 2020,15
May 2020,8
June 2020,10
July 2020,9
August 2020,6
September 2020,2
October 2020,5
November 2020,2
December 2020,6